matricula,verba,consignatario,valor_da_parcela,prazo_total,prazo_restante,natureza,margem_inicial,margem_atual,margem_disponivel,qtde_renegociados,percentual_renegociacao
74391,424,banco bradesco,32.44,120,113,novo contrato,456.92,0.22,0.05,9,1.6666666666666667
74391,424,banco bradesco,96.19,120,119,renegociação,456.92,0.22,0.05,9,1.6666666666666667
74391,424,banco bradesco,328.07,120,113,renegociação,456.92,0.22,0.05,9,1.6666666666666667
7441,424,banco bradesco,24.88,120,86,renegociação,898.3,-79.96,0.0,56,2.4285714285714284
7441,424,banco bradesco,28.26,120,95,novo contrato,898.3,-79.96,0.0,56,2.4285714285714284
7441,424,banco bradesco,35.79,120,100,novo contrato,898.3,-79.96,0.0,56,2.4285714285714284
7441,424,banco bradesco,130.29,120,86,novo contrato,898.3,-79.96,0.0,56,2.4285714285714284
7441,424,banco bradesco,132.38,120,112,novo contrato,898.3,-79.96,0.0,56,2.4285714285714284
7441,427,caixa econômica federal,121.82,144,134,renegociação,898.3,-79.96,0.0,56,2.4285714285714284
7441,427,caixa econômica federal,218.13,144,125,renegociação,898.3,-79.96,0.0,56,2.4285714285714284
7441,427,caixa econômica federal,286.71,144,125,renegociação,898.3,-79.96,0.0,56,2.4285714285714284
7521,404,banco do brasil,923.57,70,35,novo contrato,2260.43,-534.52,0.0,6,3.0
7521,424,banco bradesco,470.3,120,87,renegociação,2260.43,-534.52,0.0,6,3.0
7521,424,banco bradesco,1401.08,120,87,renegociação,2260.43,-534.52,0.0,6,3.0
7541,424,banco bradesco,298.49,120,120,renegociação,670.2,0.54,0.08,18,2.0
7541,427,caixa econômica federal,57.48,93,61,renegociação,670.2,0.54,0.08,18,2.0
7541,427,caixa econômica federal,313.69,81,49,renegociação,670.2,0.54,0.08,18,2.0
7561,424,banco bradesco,64.88,120,109,novo contrato,606.5,1.1,0.18,6,2.5
7561,424,banco bradesco,243.06,120,120,novo contrato,606.5,1.1,0.18,6,2.5
7561,424,banco bradesco,297.46,120,120,renegociação,606.5,1.1,0.18,6,2.5
7571,424,banco bradesco,23.56,96,52,novo contrato,720.43,102.75,14.26,2,3.0
7571,424,banco bradesco,594.12,120,109,renegociação,720.43,102.75,14.26,2,3.0
7581,424,banco bradesco,2219.33,60,59,novo contrato,2369.05,149.72,6.32,0,0.0
7631,424,banco bradesco,301.64,24,12,novo contrato,2242.43,1524.48,67.98,2,5.0
7631,424,banco bradesco,416.31,24,24,novo contrato,2242.43,1524.48,67.98,2,5.0
7661,424,banco bradesco,1493.22,120,111,renegociação,1663.12,169.9,10.22,5,1.4
7671,424,banco bradesco,1380.8,66,63,renegociação,2242.18,861.38,38.42,2,2.0
76763,424,banco bradesco,150.0,42,17,novo contrato,,,,0,0.0
76763,424,banco bradesco,344.85,45,17,novo contrato,,,,0,0.0
7681,424,banco bradesco,463.34,96,45,novo contrato,548.3,84.96,15.5,0,0.0
7791,404,banco do brasil,183.02,72,31,novo contrato,533.12,152.5,28.61,0,0.0
7791,404,banco do brasil,197.6,46,46,novo contrato,533.12,152.5,28.61,0,0.0
7801,424,banco bradesco,33.39,120,108,novo contrato,548.3,0.01,0.0,15,1.2
7801,424,banco bradesco,38.38,120,120,novo contrato,548.3,0.01,0.0,15,1.2
7801,424,banco bradesco,476.52,120,114,renegociação,548.3,0.01,0.0,15,1.2
7811,424,banco bradesco,115.34,96,53,novo contrato,537.87,157.49,29.28,0,0.0
7811,424,banco bradesco,265.04,84,32,novo contrato,537.87,157.49,29.28,0,0.0
7821,424,banco bradesco,464.39,120,100,novo contrato,555.87,91.48,16.46,0,0.0
7882,424,banco bradesco,16.97,120,99,novo contrato,525.45,1.17,0.22,12,1.5
7882,424,banco bradesco,456.89,120,119,renegociação,525.45,1.17,0.22,12,1.5
7882,427,caixa econômica federal,50.42,119,85,renegociação,525.45,1.17,0.22,12,1.5
7921,404,banco do brasil,220.11,72,21,novo contrato,1359.42,181.99,13.39,0,0.0
7921,424,banco bradesco,224.29,120,116,novo contrato,1359.42,181.99,13.39,0,0.0
7921,424,banco bradesco,287.03,120,112,novo contrato,1359.42,181.99,13.39,0,0.0
7921,424,banco bradesco,446.0,96,37,novo contrato,1359.42,181.99,13.39,0,0.0
7931,424,banco bradesco,392.47,96,48,novo contrato,2186.25,1095.52,50.11,0,0.0
7931,424,banco bradesco,698.26,60,35,novo contrato,2186.25,1095.52,50.11,0,0.0
8031,424,banco bradesco,221.76,24,22,novo contrato,1151.1,318.84,27.7,0,0.0
8031,424,banco bradesco,249.06,36,22,novo contrato,1151.1,318.84,27.7,0,0.0
8031,424,banco bradesco,361.44,96,51,novo contrato,1151.1,318.84,27.7,0,0.0
8051,404,banco do brasil,87.52,72,20,novo contrato,1141.14,270.03,23.66,9,1.6666666666666667
8051,424,banco bradesco,190.95,120,101,novo contrato,1141.14,270.03,23.66,9,1.6666666666666667
8051,424,banco bradesco,592.64,120,100,renegociação,1141.14,270.03,23.66,9,1.6666666666666667
8061,424,banco bradesco,163.35,120,119,renegociação,1182.13,0.52,0.04,18,2.3333333333333335
8061,424,banco bradesco,538.06,120,113,renegociação,1182.13,0.52,0.04,18,2.3333333333333335
8061,427,caixa econômica federal,480.2,144,111,novo contrato,1182.13,0.52,0.04,18,2.3333333333333335
8071,404,banco do brasil,704.37,78,56,novo contrato,1141.14,436.77,38.27,0,0.0
8081,424,banco bradesco,503.58,92,73,novo contrato,0.0,-503.58,0.0,0,0.0
8271,424,banco bradesco,63.48,120,108,novo contrato,1141.14,0.43,0.04,18,1.3333333333333333
8271,424,banco bradesco,355.2,120,112,renegociação,1141.14,0.43,0.04,18,1.3333333333333333
8271,424,banco bradesco,722.03,120,119,renegociação,1141.14,0.43,0.04,18,1.3333333333333333
8281,404,banco do brasil,244.3,72,21,novo contrato,1151.1,705.57,61.3,2,5.0
8281,424,banco bradesco,201.23,36,8,renegociação,1151.1,705.57,61.3,2,5.0
8421,404,banco do brasil,239.38,72,17,novo contrato,525.45,286.07,54.44,0,0.0
8431,404,banco do brasil,397.05,72,45,novo contrato,849.99,-1068.96,0.0,0,0.0
8431,404,banco do brasil,494.46,72,35,novo contrato,849.99,-1068.96,0.0,0,0.0
8431,424,banco bradesco,43.54,96,57,novo contrato,849.99,-1068.96,0.0,0,0.0
8431,424,banco bradesco,83.82,95,65,novo contrato,849.99,-1068.96,0.0,0,0.0
8431,424,banco bradesco,900.08,96,57,novo contrato,849.99,-1068.96,0.0,0,0.0
8521,424,banco bradesco,73.1,120,118,novo contrato,1023.19,0.0,0.0,15,2.0
8521,424,banco bradesco,76.42,72,72,novo contrato,1023.19,0.0,0.0,15,2.0
8521,424,banco bradesco,873.67,96,95,renegociação,1023.19,0.0,0.0,15,2.0
8531,424,banco bradesco,243.87,120,112,novo contrato,1410.38,-198.08,0.0,3,2.0
8531,424,banco bradesco,272.2,120,95,novo contrato,1410.38,-198.08,0.0,3,2.0
8531,424,banco bradesco,1092.39,120,86,renegociação,1410.38,-198.08,0.0,3,2.0
86218,424,banco bradesco,304.7,45,10,novo contrato,,,,0,0.0
8794,424,banco bradesco,899.93,100,98,renegociação,1127.73,227.8,20.2,2,1.0
8871,424,banco bradesco,268.13,120,111,renegociação,2607.04,144.66,5.55,12,1.25
8871,424,banco bradesco,732.09,120,112,renegociação,2607.04,144.66,5.55,12,1.25
8871,424,banco bradesco,1462.16,120,112,renegociação,2607.04,144.66,5.55,12,1.25
8891,404,banco do brasil,299.74,54,11,novo contrato,2416.04,847.01,35.06,0,0.0
8891,404,banco do brasil,1269.29,72,16,novo contrato,2416.04,847.01,35.06,0,0.0
8901,424,banco bradesco,409.73,24,5,novo contrato,2040.12,1630.39,79.92,0,0.0
8911,404,banco do brasil,1181.47,72,29,novo contrato,2136.29,395.5,18.51,2,4.0
8911,424,banco bradesco,559.32,120,119,renegociação,2136.29,395.5,18.51,2,4.0
8921,424,banco bradesco,19.3,120,111,novo contrato,1725.92,1.18,0.07,48,1.75
8921,424,banco bradesco,147.48,120,120,renegociação,1725.92,1.18,0.07,48,1.75
8921,424,banco bradesco,345.16,120,120,renegociação,1725.92,1.18,0.07,48,1.75
8921,427,caixa econômica federal,40.75,144,109,novo contrato,1725.92,1.18,0.07,48,1.75
8921,427,caixa econômica federal,169.0,144,135,renegociação,1725.92,1.18,0.07,48,1.75
8921,427,caixa econômica federal,1003.05,144,135,renegociação,1725.92,1.18,0.07,48,1.75
89743,424,banco bradesco,200.0,38,13,novo contrato,,,,0,0.0
89743,424,banco bradesco,260.3,44,11,novo contrato,,,,0,0.0
9011,424,banco bradesco,401.92,12,5,novo contrato,2353.29,1951.37,82.92,0,0.0
9021,424,banco bradesco,1375.66,120,100,novo contrato,1804.94,429.28,23.78,0,0.0
9022,424,banco bradesco,1283.01,120,120,novo contrato,1295.24,12.23,0.94,0,0.0
9041,404,banco do brasil,1838.01,72,72,novo contrato,1900.48,62.47,3.29,0,0.0
9111,404,banco do brasil,949.08,72,41,renegociação,2254.55,1305.47,57.9,2,2.5
9131,424,banco bradesco,122.22,120,92,novo contrato,2099.54,840.59,40.04,6,1.5
9131,424,banco bradesco,292.2,120,96,novo contrato,2099.54,840.59,40.04,6,1.5
9131,424,banco bradesco,844.53,120,86,renegociação,2099.54,840.59,40.04,6,1.5
9151,424,banco bradesco,37.02,120,113,novo contrato,2050.59,0.13,0.01,28,1.4285714285714286
9151,424,banco bradesco,278.4,120,120,renegociação,2050.59,0.13,0.01,28,1.4285714285714286
9151,424,banco bradesco,556.59,120,120,renegociação,2050.59,0.13,0.01,28,1.4285714285714286
9151,424,banco bradesco,1178.45,120,120,renegociação,2050.59,0.13,0.01,28,1.4285714285714286
9161,424,banco bradesco,39.28,120,108,novo contrato,647.35,0.69,0.11,8,1.5
9161,424,banco bradesco,45.54,120,120,novo contrato,647.35,0.69,0.11,8,1.5
9161,424,banco bradesco,64.61,120,103,novo contrato,647.35,0.69,0.11,8,1.5
9161,424,banco bradesco,497.23,120,93,renegociação,647.35,0.69,0.11,8,1.5
9171,424,banco bradesco,550.98,120,88,renegociação,700.54,149.56,21.35,1,3.0
9181,424,banco bradesco,726.46,120,88,renegociação,902.05,175.59,19.47,2,2.0
9211,404,banco do brasil,122.84,72,16,novo contrato,960.92,253.76,26.41,0,0.0
9211,404,banco do brasil,584.32,72,6,novo contrato,960.92,253.76,26.41,0,0.0
9251,424,banco bradesco,364.26,84,16,novo contrato,616.84,252.58,40.95,0,0.0
9261,404,banco do brasil,400.35,48,1,novo contrato,616.84,216.49,35.1,0,0.0
9341,424,banco bradesco,100.7,8,2,novo contrato,492.25,113.46,23.05,0,0.0
9341,424,banco bradesco,278.09,4,2,novo contrato,492.25,113.46,23.05,0,0.0
9391,424,banco bradesco,224.62,36,18,novo contrato,2117.78,627.55,29.63,2,2.0
9391,424,banco bradesco,1265.61,120,116,renegociação,2117.78,627.55,29.63,2,2.0
9401,424,banco bradesco,146.3,96,43,novo contrato,553.39,407.09,73.56,0,0.0
9541,424,banco bradesco,184.38,6,2,novo contrato,875.46,325.15,37.14,0,0.0
9541,424,banco bradesco,365.93,60,21,novo contrato,875.46,325.15,37.14,0,0.0
9581,424,banco bradesco,36.18,120,101,novo contrato,548.2,-126.63,0.0,9,1.6666666666666667
9581,424,banco bradesco,50.02,120,109,novo contrato,548.2,-126.63,0.0,9,1.6666666666666667
9581,424,banco bradesco,588.63,120,110,renegociação,548.2,-126.63,0.0,9,1.6666666666666667
9591,424,banco bradesco,33.82,120,100,novo contrato,510.27,87.7,17.19,2,2.0
9591,424,banco bradesco,388.75,120,93,renegociação,510.27,87.7,17.19,2,2.0
9621,424,banco bradesco,50.02,120,109,novo contrato,650.27,-32.63,0.0,12,1.25
9621,424,banco bradesco,99.19,120,116,renegociação,650.27,-32.63,0.0,12,1.25
9621,424,banco bradesco,533.69,120,112,renegociação,650.27,-32.63,0.0,12,1.25
9641,424,banco bradesco,49.56,120,86,renegociação,616.84,223.73,36.27,12,2.25
9641,424,banco bradesco,104.1,80,71,novo contrato,616.84,223.73,36.27,12,2.25
9641,424,banco bradesco,239.45,120,109,renegociação,616.84,223.73,36.27,12,2.25
9691,424,banco bradesco,196.31,120,114,novo contrato,0.0,-734.16,0.0,2,2.0
9691,424,banco bradesco,537.85,120,107,renegociação,0.0,-734.16,0.0,2,2.0
9761,404,banco do brasil,571.21,48,11,novo contrato,2099.54,1528.33,72.79,0,0.0
9861,424,banco bradesco,31.04,120,113,novo contrato,,,,2,2.0
9861,424,banco bradesco,972.24,120,110,renegociação,,,,2,2.0
